Area,Bedrooms,Bathrooms,Floors,Age,Location,Price
1200,2,1,1,20,Gulshan,8000000
1800,3,2,2,10,DHA,15000000
2500,4,3,2,5,DHA,30000000
3000,5,4,3,2,Clifton,45000000
1500,3,2,1,15,Gulshan,12000000
2200,4,3,2,8,Bahria,25000000
3500,5,4,3,1,DHA,55000000
2800,4,3,2,6,Clifton,35000000
1600,3,2,2,12,Gulshan,14000000
4000,6,5,3,0,Bahria,70000000
2000,3,2,1,18,Gulistan,11000000
3200,5,4,3,4,DHA,40000000
4500,6,5,3,1,Clifton,80000000
2700,4,3,2,7,Bahria,33000000
1900,3,2,1,20,Gulshan,10000000
